CHR	Start	End
6	106287849	106287955
6	106310401	106310577
6	106217958	106218144
6	106182089	106182164
6	106182088	106182164
6	106182761	106182789
6	106305160	106305209
6	106338073	106338147
6	106241702	106241788
6	106284044	106284114
6	106325236	106325516
6	106299123	106299228
6	106211451	106211652
6	106220683	106220745
6	106192403	106192502
6	106326777	106326834
6	106265604	106265665
6	106186521	106186632
6	106337197	106337253
6	106187771	106188073
6	106240561	106240621
6	106198176	106198194
6	106259457	106259539
6	106272101	106272257
6	106335146	106335242
6	106325383	106325433
6	106271606	106271684
6	106337057	106337430
6	106254114	106254161
6	106308171	106308266
6	106333011	106333201
6	106237262	106237473
6	106325610	106325847
6	106328431	106328648
6	106297553	106297618
6	106328145	106328233
6	106312285	106312333
6	106340930	106341108
6	106301748	106301814
6	106235420	106235529
6	106200637	106200694
6	106335499	106335681
6	106325169	106325284
6	106325862	106325890
6	106245080	106245334
6	106325724	106325771
6	106213262	106213354
6	106293187	106293311
6	106299460	106299519
6	106325523	106325872
6	106245121	106245330
6	106259848	106259949
6	106320758	106320813
6	106324002	106324077
6	106294796	106295080
6	106205770	106205859
6	106240542	106240573
6	106301485	106301556
6	106241399	106241656
6	106325648	106325745
6	106270293	106270364
6	106182959	106183018
6	106263364	106263594
6	106339195	106339257
6	106249492	106249532
6	106281326	106281490
6	106247293	106247439
6	106197318	106197573
6	106216126	106216252
6	106227661	106227782
6	106283190	106283277
6	106197575	106197605
6	106325681	106325744
6	106275044	106275140
6	106334420	106334519
6	106184782	106184942
6	106258978	106259135
6	106180341	106180458
6	106337197	106337250
6	106224102	106224191
6	106212544	106212630
6	106215323	106215472
6	106333795	106333893
6	106280538	106280667
6	106223509	106223570
6	106336873	106337059
6	106330138	106330534
6	106309698	106309820
6	106268627	106268726
6	106330753	106330972
6	106206906	106207208
6	106206905	106207207
6	106325783	106325836
6	106228564	106228730
6	106214999	106215183
6	106313410	106313464
6	106311226	106311431
6	106263096	106263213
6	106242187	106242384
6	106247608	106247744
6	106185276	106185436
6	106336737	106336873
6	106255029	106255116
6	106269728	106269791
6	106279494	106279565
6	106290070	106290100
6	106256958	106257089
6	106325460	106325579
6	106272935	106272986
6	106262891	106263213
6	106202263	106202326
6	106185027	106185077
6	106325724	106325797
6	106231390	106231569
6	106249236	106249623
6	106338569	106338646
6	106219537	106219617
6	106313123	106313201
6	106273701	106273754
6	106210706	106210914
6	106231500	106231558
6	106198707	106199003
6	106180206	106180348
6	106293508	106293558
6	106330282	106330320
6	106339551	106339921
6	106282940	106283108
6	106326855	106326934
6	106325759	106325889
6	106312852	106312937
6	106321406	106321633
6	106325678	106325969
6	106268034	106268298
6	106275744	106275912
6	106334815	106334870
6	106274773	106274818
6	106336155	106336229
6	106214151	106214210
6	106275618	106275727
6	106325338	106325382
6	106192183	106192312
6	106318677	106319107
6	106319105	106319158
6	106182526	106182570
6	106258978	106259136
6	106313647	106313776
6	106324660	106324720
6	106325106	106325193
6	106216507	106216664
6	106288000	106288049
6	106195357	106195412
6	106322204	106322380
6	106269937	106270063
6	106246271	106246368
6	106325268	106325351
6	106330320	106330440
6	106320279	106320311
6	106224563	106224642
6	106322279	106322326
6	106330464	106330744
6	106232970	106233040
6	106195321	106195368
6	106272428	106272586
6	106247145	106247241
6	106180275	106180474
6	106266270	106266299
6	106289276	106289628
6	106302868	106302991
6	106336785	106336842
6	106220865	106221144
6	106306589	106306899
6	106306589	106306900
6	106229455	106229656
6	106277125	106277219
6	106195579	106195712
6	106220435	106220695
6	106271065	106271148
6	106313274	106313320
6	106282820	106282945
6	106250874	106250982
6	106201190	106201320
6	106325851	106325922
6	106332623	106332791
6	106287330	106287384
6	106320657	106320927
6	106229668	106229833
6	106213342	106213425
6	106330297	106330433
6	106301055	106301194
6	106192418	106192494
6	106325615	106325665
6	106322271	106322429
6	106236809	106236871
6	106319358	106319393
6	106316650	106316717
6	106271566	106271627
6	106297740	106297828
6	106201966	106202025
6	106187155	106187219
6	106324609	106324663
6	106269978	106270232
6	106269977	106270232
6	106194250	106194383
6	106302556	106302681
6	106200091	106200394
6	106269093	106269187
6	106286994	106287356
6	106220120	106220358
6	106220958	106220995
6	106325956	106326072
